DAY_KEY,FULL_DATE,DAY_OF_WEEK_NUMBER,DAY_OF_WEEK_NAME,MONTH_NUMBER,MONTH_NAME,YEAR,WEEK_IN_YEAR,DAY_IN_MONTH,WEEKDAY_FLAG
191,7/10/2010,7,Saturday,7,July,2010,28,10,FALSE
192,7/11/2010,1,Sunday,7,July,2010,29,11,FALSE
193,7/12/2010,2,Monday,7,July,2010,29,12,TRUE
194,7/13/2010,3,Tuesday,7,July,2010,29,13,TRUE
195,7/14/2010,4,Wednesday,7,July,2010,29,14,TRUE
196,7/15/2010,5,Thursday,7,July,2010,29,15,TRUE
197,7/16/2010,6,Friday,7,July,2010,29,16,TRUE
198,7/17/2010,7,Saturday,7,July,2010,29,17,FALSE
199,7/18/2010,1,Sunday,7,July,2010,30,18,FALSE
200,7/19/2010,2,Monday,7,July,2010,30,19,TRUE
201,7/20/2010,3,Tuesday,7,July,2010,30,20,TRUE
202,7/21/2010,4,Wednesday,7,July,2010,30,21,TRUE
203,7/22/2010,5,Thursday,7,July,2010,30,22,TRUE
204,7/23/2010,6,Friday,7,July,2010,30,23,TRUE
205,7/24/2010,7,Saturday,7,July,2010,30,24,FALSE
206,7/25/2010,1,Sunday,7,July,2010,31,25,FALSE
207,7/26/2010,2,Monday,7,July,2010,31,26,TRUE
208,7/27/2010,3,Tuesday,7,July,2010,31,27,TRUE
209,7/28/2010,4,Wednesday,7,July,2010,31,28,TRUE
210,7/29/2010,5,Thursday,7,July,2010,31,29,TRUE
211,7/30/2010,6,Friday,7,July,2010,31,30,TRUE
212,7/31/2010,7,Saturday,7,July,2010,31,31,FALSE
213,8/1/2010,1,Sunday,8,August,2010,32,1,FALSE
214,8/2/2010,2,Monday,8,August,2010,32,2,TRUE
215,8/3/2010,3,Tuesday,8,August,2010,32,3,TRUE
216,8/4/2010,4,Wednesday,8,August,2010,32,4,TRUE
217,8/5/2010,5,Thursday,8,August,2010,32,5,TRUE
218,8/6/2010,6,Friday,8,August,2010,32,6,TRUE
219,8/7/2010,7,Saturday,8,August,2010,32,7,FALSE
220,8/8/2010,1,Sunday,8,August,2010,33,8,FALSE
221,8/9/2010,2,Monday,8,August,2010,33,9,TRUE
222,8/10/2010,3,Tuesday,8,August,2010,33,10,TRUE
223,8/11/2010,4,Wednesday,8,August,2010,33,11,TRUE
224,8/12/2010,5,Thursday,8,August,2010,33,12,TRUE
225,8/13/2010,6,Friday,8,August,2010,33,13,TRUE
226,8/14/2010,7,Saturday,8,August,2010,33,14,FALSE
227,8/15/2010,1,Sunday,8,August,2010,34,15,FALSE
228,8/16/2010,2,Monday,8,August,2010,34,16,TRUE
229,8/17/2010,3,Tuesday,8,August,2010,34,17,TRUE
230,8/18/2010,4,Wednesday,8,August,2010,34,18,TRUE
231,8/19/2010,5,Thursday,8,August,2010,34,19,TRUE
232,8/20/2010,6,Friday,8,August,2010,34,20,TRUE
233,8/21/2010,7,Saturday,8,August,2010,34,21,FALSE
234,8/22/2010,1,Sunday,8,August,2010,35,22,FALSE
235,8/23/2010,2,Monday,8,August,2010,35,23,TRUE
236,8/24/2010,3,Tuesday,8,August,2010,35,24,TRUE
237,8/25/2010,4,Wednesday,8,August,2010,35,25,TRUE
238,8/26/2010,5,Thursday,8,August,2010,35,26,TRUE
239,8/27/2010,6,Friday,8,August,2010,35,27,TRUE
240,8/28/2010,7,Saturday,8,August,2010,35,28,FALSE
241,8/29/2010,1,Sunday,8,August,2010,36,29,FALSE
242,8/30/2010,2,Monday,8,August,2010,36,30,TRUE
243,8/31/2010,3,Tuesday,8,August,2010,36,31,TRUE
244,9/1/2010,4,Wednesday,9,September,2010,36,1,TRUE
245,9/2/2010,5,Thursday,9,September,2010,36,2,TRUE
246,9/3/2010,6,Friday,9,September,2010,36,3,TRUE
247,9/4/2010,7,Saturday,9,September,2010,36,4,FALSE
248,9/5/2010,1,Sunday,9,September,2010,37,5,FALSE
249,9/6/2010,2,Monday,9,September,2010,37,6,TRUE
250,9/7/2010,3,Tuesday,9,September,2010,37,7,TRUE
251,9/8/2010,4,Wednesday,9,September,2010,37,8,TRUE
252,9/9/2010,5,Thursday,9,September,2010,37,9,TRUE
253,9/10/2010,6,Friday,9,September,2010,37,10,TRUE
254,9/11/2010,7,Saturday,9,September,2010,37,11,FALSE
255,9/12/2010,1,Sunday,9,September,2010,38,12,FALSE
